Participant,Item,EventIndex,EventTime,TimeSinceLastEvent,TotalItemTime,Results.reception.time,Controller.name,Inner.element.number,Label,Latin.Square.Group,PennElementType,PennElementName,Parameter,Value,Subject,age,group,item,itemCond,Sentence1,Sentence1Cond,Sentence2,Sentence2Cond,Sentence3,Sentence3Cond,Sentence4,Sentence4Cond,Sentence5,Sentence5Cond,Sentence6,Sentence6Cond,Sentence7,Sentence7Cond,Sentence8,Sentence8Cond,Comments
32ab20bbeccaa48346503c065698e438,6,30,1742304495918,1916.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(30%2C 1),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped Jane calls the bluff. 
32ab20bbeccaa48346503c065698e438,6,31,1742304496123,205.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,Jane calls the bluff. ,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (30%2C 1)
32ab20bbeccaa48346503c065698e438,6,32,1742304496193,70.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(30%2C 1),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped Jane calls the bluff. 
32ab20bbeccaa48346503c065698e438,6,33,1742304496260,67.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,Jane calls the bluff. ,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (30%2C 1)
32ab20bbeccaa48346503c065698e438,6,34,1742304496307,47.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(30%2C 1),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped Jane calls the bluff. 
32ab20bbeccaa48346503c065698e438,6,35,1742304497055,748.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,She loves playful giraffes.,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (30%2C 5)
32ab20bbeccaa48346503c065698e438,6,36,1742304498533,1478.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(30%2C 5),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped She loves playful giraffes.
32ab20bbeccaa48346503c065698e438,6,37,1742304517626,19093.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,I put my angry foot in the cool water.,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (3%2C 8)
32ab20bbeccaa48346503c065698e438,6,38,1742304518144,518.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drop,(3%2C 8),207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dopped I put my angry foot in the cool water.
32ab20bbeccaa48346503c065698e438,6,39,1742304522818,4674.0,122914,1742304762,PennController,0,trials,,DragDrop,experimental-trials,Drag,I e-mailed your assistant earlier this morning .,207112,33,2,1.0,Awareness,Ben made another happy announcement on March 28.,ModAware2,I e-mailed your assistant earlier this morning .,NoModAware4,He had this habit of telling you everything.,NoModAware2,Dignitaries condemn the rebellious act.,ModAware4,I put my angry foot in the cool water.,ModAware4,Jane calls the bluff. ,NoModAware2,Dr. Hart killed our pet.,NoModAware4,She loves playful giraffes.,ModAware2,Dropped on (19%2C 1)
